title;corresponding_author;author_2;author_3;country_corresponding_author;country_author2;country_author3;language;year_of_publication;family_studied;marine_realm;environment;ecological_community;minimum_depth;maximum_depth;province;approach;cryptic_or_cosmopolitan_species;molecular_data;molecular_marker;human_impact
Systematics and distribution of the polychaetes (Annelida: Polychaeta) from the sublittoral zone in the Gulf of California.;p. hernandez-alcantara;v. solis-weiss;NA;Mexico;Mexico;;english;1999;maldanidae,capitellidae,opheliidae,orbiniidae,paraonidae,cossuridae,amphinomidae,euphrosinidae,dorvilleidae,lumbrineridae,onuphidae,oenonidae,acoetidae,eulepethidae,polynoidae,chrysopetalidae,goniadidae,glyceridae,sigalionidae,nephtyidae,phyllodocidae,nereididae,hesionidae,pilargidae,syllidae,oweniidae,sabellidae,serpulidae,spionidae,longosomatidae,poecilochaetidae,magelonidae,chaetopteridae,flabelligeridae,cirratulidae,ampharetidae,trichobranchidae,terebellidae,sternaspidae;12;marine;benthos;64;120;sublittoral;ecological statistical analysis;no;no;;no
Lista de los poliquetos registrados para el caribe colombiano, incluyendo comentarios sobre su zoogeografia.;j. j. a. laverde-castillo;h. r. gomez;NA;Colombia;Colombia;;spanish;1987;orbiniidae,chaetopteridae,spionidae,cirratulidae,capitellidae,acoetidae,sigalionidae,chrysopetalidae,sigalionidae,pilargidae,hesionidae,syllidae,nereididae,glyceridae,goniadidae,nephtyidae,amphinomidae,onuphidae,euphrosinidae,eunicidae,lumbrineridae,oenonidae,dorvilleidae,flabelligeridae,oweniidae,sabellariidae,trichobranchidae,sabellidae,serpulidae,terebellidae;11;marine;benthos;NA;NA;NA;faunal affinity;no;no;;no
Distribution patterns and biogeographic analysis of Austral Polychaeta (Annelida);c. j. glasby;b. alvarez;NA;New Zealand;New Zealand;;english;1999;spionidae,serpulidae,eunicidae,onuphidae,oenonidae,lumbrineridae;30,10,25,24,27,21,19,26,15,28,17;marine;benthos;0;NA;littoral,sublittoral,bathyal,abyssal;faunal similarity (cluster analysis and PAE);yes;no;;yes
Phenetic and biogeographic relationships in Ophelia (Polychaeta, Opheliidea);g. bellan;j. c. dauvin;NA;France;;;english;1991;opheliidae;NA;marine;benthos;0;1700;littoral,sublittoral,bathyal;phylogenetic biogeography;no;no;;no
Distribution patterns of Terebellidae (Annelida: Polychaeta): An application of Parsimony Analysis of Endemicity (PAE);a. r. s. garraffoni;s. s. nihei;p. c. lana;Brazil;Brazil;Brazil;english;2006;terebellidae;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;marine;benthos;NA;NA;littoral,sublittoral,bathyal;faunal similarity (PAE);no;no;;no
Zoogeographical origin of the polychaete fauna of the Black and Azov seas;v. surugiu;NA;NA;Romania;;;english;2008;NA;2;marine;NA;NA;NA;NA;faunal affinity;no;no;;yes
Biodiversity and biogeographic relationships of the polychaete fauna in French Atlantic and Mediterranean waters;j. c. dauvin;g. bachelet;g. bellan;France;France;France;english;2006;syllidae,serpulidae,spionidae,phyllodocidae,polynoidae,sabellidae,terebellidae,maldanidae,nereididae,paraonidae,dorvilleidae,cirratulidae,capitellidae,opheliidae,eunicidae,hesionidae,onuphidae,lumbrineridae,orbiniidae,nerillidae,ampharetidae,nephtyidae,sigalionidae,protodrilidae,glyceridae,chaetopteridae,flabelligeridae,arenicolidae,pilargidae,magelonidae,oenonidae,goniadidae,scalibregmatidae,aphroditidae,sphaerodoridae,sabellariidae,acoetidae,pholoidae,ctenodrilidae,pectinariidae,polygordiidae,amphinomidae,phyllodocidae,chrysopetalidae,spintheridae,oweniidae,trichobranchidae,saccocirridae,cossuridae,euphrosinidae,sigalionidae,tomopteridae,poecilochaetidae,acrocirridae,psammodrilidae,histriobdellidae,eulepethidae,iospilidae,lacydoniidae,lopadorrhynchidae,paralacydoniidae,apistobranchidae,longosomatidae,sternaspidae,parergodrilidae,typhloscolecidae,siboglinidae;5,18;marine;benthos;0;NA;littoral,sublittoral,bathyal;faunal affinity,faunal similarity (cluster analysis);no;no;;no
Distribution of the genus Ophryotrocha (polychaeta) in Italy: New records and comments on the biogeography of Mediterranean species;r. simonini;g. m. nsiala;v. grandi;Italy;Italy;Italy;english;2009;dorvilleidae;5;brackish,marine;benthos;0;1.5;littoral,sublittoral;faunal affinity;yes;no;;yes
Polychaetes of the soft bottoms of the Straits of Magellan collected during the Italian oceanographic cruise in February-March 1991;m. c. gambi;s. mariani;NA;Italy;Italy;;english;1999;orbiniidae,paraonidae,cossuridae,spionidae,cirratulidae,capitellidae,maldanidae,opheliidae,scalibregmatidae,phyllodocidae,polynoidae,sigalionidae,hesionidae,pilargidae,syllidae,nereididae,glyceridae,goniadidae,nephtyidae,sphaerodoridae,amphinomidae,nereididae,glyceridae,goniadidae,nephtyidae,sphaerodoridae,amphinomidae,euphrosinidae,onuphidae,lumbrineridae,oenonidae,dorvilleidae,sternaspidae,sabellariidae,pectinariidae,ampharetidae,terebellidae,trichobranchidae,sabellidae,serpulidae;24;marine;benthos;30;1100;sublittoral,bathyal;faunal affinity,faunal similarity (cluster analysis);no;no;;no
The Polydora cornuta complex (Annelida: Polychaeta) contains populations that are reproductively isolated and genetically distinct;s. a. rice;s. karl;k. a. rice;United States of America;United States of America;United States of America;english;2008;spionidae;28,11,7;marine;benthos,meroplankton;NA;NA;littoral/NA;molecular biogeography;yes;yes ; COI;yes
Holoplanktonic polychaetes off the southwestern coast of Baja California, Mexico, in March, 1977;m. a. fernandez-alamo;NA;NA;Mexico;;;english;1996;lopadorrhynchidae,tomopteridae,iospilidae,phyllodocidae,typhloscolecidae;12;marine;holoplankton;200;200;epipelagic;faunal affinity;no;no;;no
Preliminary data on the composition and distribution of polychaetes in the deep-water areas of the north-western part of the Sea of Japan;i. alalykina;NA;NA;Russia;;;english;2013;spionidae,opheliidae,polynoidae,ampharetidae,cirratulidae,scalibregmatidae,syllidae,sphaerodoridae,nephtyidae,apistobranchidae,capitellidae,terebellidae,sabellidae,maldanidae,orbiniidae,cossuridae,paraonidae,flabelligeridae,oweniidae,phyllodocidae,dorvilleidae,lumbrineridae,pholoidae,poecilochaetidae,lacydoniidae,typhloscolecidae,pilargidae,hesionidae;20;marine;benthos;340;3427;littoral,sublittoral,bathyal,abyssal;ecological statistical analysis;no;no;;no
Molecular evidence of intraspecific variability in Lysidice ninetta (Polychaeta: Eunicidae) in the Mediterranean Sea;f. p. patti;m. a. iannotta;m. c. gambi;Italy;Italy;Italy;english;2009;eunicidae;5;marine;benthos;11;28;sublittoral;phylogeography;yes;yes ; 16s;no
Phylogeography of the reef-building polychaetes of the genus Phragmatopoma in the western Atlantic Region;f. nunes;a. van wormhoudt;l. faroni-perez;France;France;France;english;2017;sabellariidae;11,21;marine;benthos;0;0;littoral;phylogeography;yes;yes ; cox1, ITS1;no
A census of abyssal polychaetes;g. l. j. paterson;a. g. glover;c. r. s. b. frojan;United Kingdom;United Kingdom;United Kingdom;english;2009;ampharetidae,nephtyidae,oweniidae,polynoidae,sabellidae,nereididae,onuphidae,terebellidae,aphroditidae,capitellidae,phyllodocidae,poecilochaetidae,scalibregmatidae,serpulidae;3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30;marine;benthos;2001;10000;abyssal,hadal;faunal similarity (PAE),ecological statistical analysis;yes;no;;no
Tri-oceanic connectivity of the supposedly cosmopolitan polychaete, Harmothoe imbricata (Annelida: Polynoidae): insights from the COI marker;a. a. david;j. cahill;NA;United States of America;United States of America;;english;2020;polynoidae;11,7,3,4,8,6;marine;benthos;0;2;littoral,sublittoral;phylogeography;yes;yes ; COI;yes
Barcoding and multi-locus phylogeography of the globally distributed calcareous tubeworm genus Hydroides Gunnerus, 1768 (Annelida, Polychaeta, Serpulidae);y. sun;e. wong;s. t. ahyong;Australia;Australia;Australia;english;2018;serpulidae;16,26,21,13,29,20,5,2,4,12,7;marine;benthos;NA;NA;littoral,sublittoral;phylogeography;yes;yes ; COI, cytb, 28s, 18s, ITS;yes
Biogeographical patterns and Rapoports rule in southeastern Pacific benthic polychaetes of the Chilean coast;c. e. hernandez;r. a. moreno;n. rozbaczylo;Chile;Chile;Chile;english;2005;NA;10,25,24;marine;benthos;0;NA;littoral,sublittoral;faunal similarity (cluster analysis),ecological statistical analysis;no;no;;no
Population structure of two northern hemisphere polychaetes, Neanthes virens and Hediste diversicolor (Nereididae), with different life-history traits;p. u. blier;s. breton;f. dufresne;Canada;Canada;Canada;english;2003;nereididae;20,6,18,11,5;marine;benthos;0;0;littoral;phylogeography;yes;yes ; COI, cytb;yes
Polychaete patterns from an oceanic island in the eastern Central Atlantic: La Gomera (Canary Archipelago);s. herrando-perez;g. san martin;j. nunez;Spain;Spain;Spain;english;2001;spionidae,syllidae,onuphidae,paraonidae,phyllodocidae,serpulidae,sigalionidae,sabellidae,lumbrineridae;21;marine;benthos;NA;NA;sublittoral;ecological statistical analysis,faunal similarity (cluster analysis);yes;no;;yes
Polychaetes from the Atlantic seamounts of the southern azores: Biogeographical distribution and reproductive patterns;p. gillet;j. c. dauvin;NA;France;France;;english;2000;ampharetidae,syllidae,terebellidae,eunicidae,nereididae,onuphidae,cirratulidae,chrysopetalidae,euphrosinidae,poecilochaetidae,lumbrineridae,amphinomidae,nephtydae,phyllodocidae,aphroditidae,sabellidae,hesionidae,glyceridae,polynoidae,sabellariidae,capitellidae,orbiniidae,flabelligeridae,sigalionidae;21;marine;benthos;275;2205;bathyal;faunal similarity (cluster analysis);no;no;;no
On some ecological aspects of the lugworm Abarenicola affinis chiliensis Wells, 1963 (Polychaeta: Scolecida: Arenicolidae) from shallow soft bottoms of northern Chile;r. a. moreno;n. rozbaczylo;r. d. sepulveda;Chile;Chile;Chile;english;2007;arenicolidae;10;marine;benthos;2;2;sublittoral;ecological statistical analysis;no;no;;no
A comparison between species diversities of polychaetes from tropical and temperate structurally similar rocky intertidal habitats.;m. n. ben-eliahu;u. n. safriel;NA;Israel;Israel;;english;1982;nereididae,sabellidae,serpulidae,syllidae;14,5;marine;benthos;0;0;littoral;ecological statistical analysis;no;no;;no
Benthic littoral Polychaeta Sedentaria of Terra Nova Bay (Ross Sea, Antarctica);g. cantone;n. di pietro;NA;Italy;;;english;2001;orbiniidae,spionidae,chaetopteridae,paraonidae,cirratulidae,capitellidae,maldanidae,opheliidae,oweniidae,ampharetidae,trichobranchidae,terebellidae,sabellidae,serpulidae;30;marine;benthos;18;500;sublittoral;faunal affinity;no;no;;no
Introduction of species of genus Marenzelleria Mensil, 1896 (Polychaeta: Spionidae) in the Don River delta and Taganrog Bay;v. l. syomin;a. v. sikorski;e. p. kovalenko;Russia;Norway;Russia;english;2016;spionidae;2;brackish;benthos,meroplankton;1.5;8;sublittoral/epipelagic;none;no;no;;yes
Occurrence of Prionospio saccifera (Spionidae: Polychaeta) in the Mediterranean Sea;m. e. cinar;z. ergen;NA;Turkey;;;english;1999;spionidae;5;marine;benthos;65;85;sublittoral;none;no;no;;yes
First record of the polychaete ficopomatus uschakovi (Pillai, 1960) (Annelida, Serpulidae) in the Colombian Caribbean, South America;c. arteaga-florez;v. fernandez-rodriguez;m. h. londono-mesa;Colombia;Colombia;Colombia;english;2014;serpulidae;11;brackish;benthos;0;1;littoral,sublittoral;none;no;no;;yes
Biodiversity and distribution of the Scolecida (Annelida: Polychaeta) on the continental shelf of the Gulf of California, Mexican Pacific;p. hernandez-alcantara;v. solis-weiss;NA;Mexico;Mexico;;english;2013;arenicolidae,capitellidae,cossuridae,maldanidae,opheliidae,orbiniidae,scalibregmatidae,paraonidae;12;marine;benthos;0;132;littoral,sublittoral;ecological statistical analysis;no;no;;no
Pelagic polychaetes from ice stations (Arlis I and II) in the arctic basin;d. maurer;d. j. reish;NA;United States of America;United States of America;;english;1984;lopadorrhynchidae,iospilidae,typhloscolecidae,polynoidae,spionidae;8,6;marine;holoplankton;0;2300;epipelagic,mesopelagic,bathypelagic;none;no;no;;no
Benthic infaunal communities across the Weddell Sea Basin and South Sandwich Slope, Antarctica;j. a. blake;b. e. narayanaswamy;NA;United States of America;United Kingdom;;english;2004;polynoidae,pholoidae,syllidae,sabellidae,sphaerodoridae,hesionidae,lacydoniidae,nereididae,nephtydae,glyceridae,orbiniidae,dorvilleidae,paraonidae,spionidae,chaetopteridae,cirratulidae,scalibregmatidae,opheliidae,questidae,acrocirridae,fauveliopsidae,capitellidae,maldanidae,ampharetidae,terebellidae,trichobranchidae;30;marine;benthos;1108;6316;bathyal,abyssal,hadal;ecological statistical analysis,faunal similarity (cluster analysis);no;no;;no
Polydora and related genera associated with hermit crabs from the Indo-West Pacific (Polychatea: Spionidae), with descriptions of two new species and a second polydorid egg predator of hermit crabs;j. d. williams;NA;NA;United States of America;;;english;2001;spionidae;13;marine;benthos;5;5;sublittoral;faunal affinity;no;no;;yes
Phylogeny and genetic diversity of Palolo worms (Palola, Eunicidae) from the tropical North Pacific and the Caribbean;a. schulze;NA;NA;United States of America;;;english;2006;eunicidae;13,9,11;marine;benthos;0;23;littoral,sublittoral;phylogeography;yes;yes ; COI, 16s;no
New records of the alien polychaete worm chaetozone corona (Polychaeta: Cirratulidae) in the adriatic sea [Novi nalazi nezavia aje vrste mnogoa etinaša, chaetozone corona (Polychaeta: cirratulidae), u jadranskom moru];f. bertasi;l. grossi;b. trabucco;Italy;Italy;Italy;english;2017;cirratulidae;5;brackish,marine;benthos;3;30;sublittoral;ecological statistical analysis;no;no;;yes
Faunistic and zoogeographical characterization of the benthic infauna on the Carolina continental slope;b. hilbig;NA;NA;United States of America;;;english;1994;aberrantidae,acrocirridae,ampharetidae,amphinomidae,aphroditidae,apistobranchidae,maldanidae,capitellidae,chaetopteridae,chrysopetalidae,cirratulidae,cossuridae,dorvilleidae,eunicidae,euphrosinidae,fauveliopsidae,flabelligeridae,glyceridae,goniadidae,hesionidae,longosomatidae,lacydoniidae,lumbrineridae,maldanidae,nephtydae,nereididae,oenonidae,onuphidae,opheliidae,orbiniidae,oweniidae,paralacydoniidae,paraonidae,pholoidae,phyllodocidae,pilargidae,poecilochaetidae,polynoidae,questidae,sabellariidae,sabellidae,scalibregmatidae,serpulidae,spionidae,sigalionidae,sphaerodoridae,sternaspidae,syllidae,terebellidae,trichobranchidae,trochochaetidae,siboglinidae,echiura,sipuncula;11;marine;benthos;600;3500;bathyal,abyssal;none;no;no;;no
Distribution of Polychaeta Communities in the West Spitsbergen Area in Winter (December 2015);d. r. dikaeva;e. a. frolova;NA;Russia;Russia;;english;2018;serpulidae,maldanidae,nephtydae,cirratulidae,chaetopteridae,lumbrineridae;4;marine;benthos;45;272;sublittoral,bathyal;faunal similarity (cluster analysis),ecological statistical analysis;no;no;;no
Serpulid tube-worms (Annelida: Polychaeta) of the Central and Eastern Mediterranean with particular attention to the Levant Basin;m. n. ben-eliahu;d. fiege;NA;Israel;Germany;;english;1996;serpulidae;5;marine;benthos;36;4765;sublittoral,bathyal,abyssal;faunal similarity (cluster analysis),ecological statistical analysis;no;no;;yes
Planktonic larvae of spionid and chaetopterid polychaetes from off the West coast of the Antarctic Peninsula;r. s. scheltema;j. a. blake;i. p. williams;United States of America;United States of America;United States of America;english;1997;spionidae,chaetopteridae;30;marine;meroplankton;0;180;epipelagic;none;no;no;;no
Stygobiont polychaetes: Notes on the morphology and the origins of groundwater Namanereis (Annelida: Nereididae: Namanereidinae), with a description of two new species;c. j. glasby;d. fiege;k. van damme;Australia;Germany;United Kingdom;english;2014;nereididae;NA;freshwater;benthos;NA;NA;NA;none;no;no;;no
Discrete genetic boundaries of three streblospio (spionidae, annelida) species and the status of S. shrubsolii;a. r. mahon;h. k. mahon;d. m. dauer;United States of America;United States of America;United States of America;english;2009;spionidae;11,18,3,1;marine,brackish;benthos;NA;NA;littoral;molecular biogeography;no;yes ; COI;no
Evidence of a geographical variation in Mesochaetopterus (Polychaeta: Chaetopteridae) from the Pacific Ocean;m. r. bhaud;NA;NA;United Kingdom;;;english;2005;chaetopteridae;12,13,16,9;marine;benthos;0;60;littoral,sublittoral;none;yes;no;;yes
Sharp genetic break between Atlantic and English Channel populations of the polychaete Pectinaria koreni, along the North coast of France;m. t. jolly;d. jollivet;f. gentil;France;France;France;english;2005;pectinariidae;18;marine,brackish;benthos;0;0;littoral;phylogeography;yes;yes ; COI, aloenzimas;no
Horizontal distribution pattern of the syllid fauna (Annelida: Polychaeta) in the fringing reef lagoon of Anse Forbans (Seychelles, Mahe) and redescription of the abundant Streptosyllis aequiseta;m. boggemann;r. hessling;w. westheide;Germany;Germany;Germany;english;2003;syllidae;13;marine;benthos;0;5;littoral,sublittoral;none;yes;no;;no
Quantitative analysis of soft-bottom polychaetes of the Bellingshausen Sea and Gerlache Strait (Antarctica);j. parapar;e. lopez;m. c. gambi;Spain;Spain;Italy;english;2011;ampharetidae,oweniidae,paraonidae,amphinomidae,phyllodocidae,capitellidae,chaetopteridae,polynoidae,cirratulidae,sabellidae,eunicidae,flabelligeridae,scalibregmatidae,glyceridae,serpulidae,lumbrineridae,maldanidae,spionidae,nephtyidae,sternaspidae,nereididae,syllidae,onuphidae,opheliidae,terebellidae,orbiniidae,trichobranchidae;30;marine;benthos;90;2032;sublittoral,bathyal,abyssal;faunal similarity (cluster analysis),ecological statistical analysis;no;no;;no
Worldwide molecular phylogeny of common estuarine polychaetes of the genus Hediste (Annelida: Nereididae), with special reference to interspecific common haplotypes found in southern Japan;h. tosuji;r. bastrop;m. gotting;Japan;Germany;Germany;english;2019;nereididae;11,7,18,3,5,1;brackish;benthos;0;0;littoral;phylogeography;yes;yes ; COI, 16s;no
Factors influencing latitudinal pattern of biodiversity: An example using Sabellidae (Annelida, Polychaeta);a. giangrande;m. licciano;NA;Italy;Italy;;english;2004;sabellidae;3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30;marine;benthos;0;NA;littoral,sublittoral;ecological statistical analysis;yes;no;;no
Diversity and distribution of Chilean benthic marine polychaetes: State of the art;n. rozbaczylo;j. a. simonetti;NA;Chile;Chile;;english;2000;NA;24,25,10;marine;benthos;0;NA;littoral,sublittoral,bathyal,abyssal;none;no;no;;no
Un analisis biogeografico de los poliquetos (Annelida: Polychaeta) del golfo de Tehuantepec, Mexico;j. a. leon-gonzalez;v. solis-weiss;l. gonzalez-ortiz;Mexico;Mexico;Mexico;spanish;2000;orbiniidae,paraonidae,cossuridae,spionidae,magelonidae,opheliidae,poecilochaetidae,eulepethidae,sigalionidae,pilargidae,syllidae,nereididae,glyceridae,goniadidae,nephtydae,amphinomidae,onuphidae,eunicidae,lumbrineridae,oenonidae,flabelligeridae,ampharetidae,terebellidae,sabellidae;12;marine;benthos;20;200;sublittoral;faunal affinity;yes;no;;no
Regional patterns of continental shelf polychaete diversity: Examples for the North Sea, English Channel, Irish Sea and Outer Bristol Channel areas;b. quiroz-martinez;f. g. schmitt;j. c. dauvin;France;France;France;english;2011;NA;3;marine;benthos;0;174;littoral,sublittoral;ecological statistical analysis;no;no;;yes
A collection of Sabellidae (Polychaeta) from Carrie Bow Cay (Belize, western Caribbean Sea) with the description of two new species;a. giangrande;m. licciano;m. c. gambi;Italy;Italy;Italy;english;2007;sabellidae;11;marine;benthos;0.5;21;littoral,sublittoral;faunal affinity;yes;no;;no
Troglochaetus beranecki Delachaux (Polychaeta, Archiannelida) in esker groundwaters of Finland: A new class of limnic animals for northern Europe;j. sarkka;j. makela;NA;Finland;Finland;;english;1998;nerillidae;NA;freshwater;NA;NA;NA;NA;none;no;no;;no
Biogeographical affinities of polychaetes from iles Crozet;j. sicinski;p. gillet;NA;Poland;France;;english;2002;polynoidae,maldanidae,ampharetidae,melinnidae,oweniidae,spionidae,syllidae,terebellidae,eunicidae,aphroditidae,nereididae,flabelligeridae,arenicolidae,travisiidae,sabellidae,euphrosinidae,capitellidae,sigalionidae,nephtyidae,onuphidae,glyceridae,lumbrineridae,orbiniidae,phyllodocidae,amphinomidae;30;marine;benthos;50;1055;sublittoral,bathyal;faunal similarity (cluster analysis);no;no;;no
Biological geography of the European seas: Results from the MacroBen database;c. arvanitidis;p. j. somerfield;h. rumohr;Greece;United Kingdom;Germany;english;2009;NA;1,2,3,4,5,6,18,8;marine;benthos;NA;NA;NA;ecological statistical analysis,faunal similarity (cluster analysis);no;no;;no
Application of the dendrite analysis in the discussion on the biogeography of the Antarctic.;j. sicinski;NA;NA;Poland;;;english;1986;NA;30;marine;benthos;NA;NA;NA;faunal affinity;no;no;;no
Geographical variation in species diversity: A comparison of marine polychaetes and nematodes;j. f. gobin;r. m. warwick;NA;Trinidad and Tobago;Trinidad and Tobago;;english;2006;NA;28,30,3,11;marine;benthos;12;15;sublittoral;ecological statistical analysis;no;no;;no
Mesochaetopterus sagittarius: An example of a biogeography discrepancy between larval and adult boundaries: Implication for recruitment studies;m. r. bhaud;a. a. ravara;g. marcano;France;Portugal;Portugal;english;2002;chaetopteridae;18,3;marine;benthos,meroplankton;16;182;bathypelagic/sublittoral;none;no;no;;no
Polychaete diversity in the Scotia Arc benthic realm: Are polychaetes tracers for faunal exchange?;a. montiel;e. quiroga;d. gerdes;Chile;Chile;Germany;english;2016;cossuridae,dorvilleidae,eunicidae,polynoidae,trichobranchidae,oweniidae,flabelligeridae,fabriciidae,magelonidae,euphrosinidae,hesionidae,sternaspidae,nephtydae,nereididae,apistobranchidae,scalibregmatidae,lumbrineridae,sabellidae,chaetopteridae,sphaerodoridae,ampharetidae,amphinomidae,glyceridae,sabellariidae,capitellidae,phyllodocidae,onuphidae,opheliidae,orbiniidae,spionidae,syllidae,maldanidae,paraonidae,cirratulidae,terebellidae;30;marine;benthos;102;1145;sublittoral,bathyal;faunal similarity (cluster analysis);no;no;;no
Nestedness and species replacement along bathymetric gradients in the deep sea reflect productivity: a test with polychaete assemblages in the oligotrophic north-west Gulf of Mexico;c. t. stuart;s. brault;g. t. rowe;United States of America;United States of America;United States of America;english;2017;NA;11;marine;benthos;213;3732;bathyal,abyssal;ecological statistical analysis;no;no;;no
A complex species complex: The controversial role of ecology and biogeography in the evolutionary history of Syllis gracilis Grube, 1840 (Annelida, Syllidae);f. maltagliati;j. langeneck;f. scarpa;Italy;Italy;Italy;english;2020;syllidae;5;brackish,marine;benthos;0;NA;littoral,sublittoral;phylogeography;yes;yes ; 16s;no
Zoogeography of western beaufort sea polychaeta (annelida);g. r. bilyard;a. g. carey jr;NA;United States of America;United States of America;;english;1980;opheliidae,serpulidae,flabelligeridae,sphaerodoridae,polynoidae,sabellidae,nephtyidae,cirratulidae,flabelligeridae,syllidae,dorvilleidae,terebellidae,nereididae,spionidae,trichobranchidae,apistobranchidae,ampharetidae,pectinariidae,maldanidae,lumbrineridae,phyllodocidae,onuphidae,pholoidae,melinnidae,spionidae,cossuridae,sternaspidae,trochochaetidae,scalibregmatidae,oweniidae,capitellidae,paraonidae;6;marine;benthos;20;3010;sublittoral,bathyal,abyssal;faunal affinity;no;no;;no
Spiochaetopterus nonatoi, a new species of Chaetopteridae (Polychaeta) from Brazil: Biogeographical consequences;m. r. bhaud;m. a. v. petti;NA;France;Brazil;;english;2001;chaetopteridae;18;marine;benthos;4;10;sublittoral;none;no;no;;no
Benthic polychaete diversity patterns and community structure in the Whittard Canyon system and adjacent slope (NE Atlantic);l. m. gunton;l. neal;a. j. gooday;United Kingdom;United Kingdom;United Kingdom;english;2015;spionidae,amphinomidae,flabelligeridae,ampharetidae,glyceridae,syllidae,paraonidae,cirratulidae;18;marine;benthos;3375;3670;abyssal;faunal similarity (cluster analysis),ecological statistical analysis;no;no;;no
Phylogeography of the invasive Mediterranean fan worm, Sabella spallanzanii (Gmelin, 1791), in Australia and New Zealand;s. t. ahyong;e. k. kupriyanova;i. burghardt;Australia;Australia;Australia;english;2017;sabellidae;18,5,26,28;marine;benthos;0;NA;littoral,sublittoral;phylogeography;no;yes ; COI;yes
First insights into the biodiversity and biogeography of the Southern Ocean deep sea;a. brandt;a. j. gooday;s. n. brandao;Germany;United Kingdom;Germany;english;2007;NA;30;marine;benthos;711;6464;bathyal,abyssal,hadal;faunal affinity;no;no;;no
A tri-oceanic perspective: DNA barcoding reveals geographic structure and cryptic diversity in Canadian polychaetes;c. m. carr;s. m. hardy;t. m. brown;Canada;United States of America;Canada;english;2011;nereididae,capitellidae,sabellidae,flabelligeridae,cirratulidae,phyllodocidae,maldanidae,polynoidae,amphinomidae,spionidae,orbiniidae,lumbrineridae,nephtydae,opheliidae,pectinariidae,scalibregmatidae,syllidae,trichobranchidae;7,6,8,18;marine;benthos;0;60;littoral,sublittoral;molecular biogeography,faunal similarity (cluster analysis);yes;yes ; COI;no
Distribution and diversity of polychaetes along a bathyal escarpment in the western Mediterranean Sea;j. langenack;g. busoni;s. aliani;Italy;Italy;Italy;english;2019;orbiniidae,paraonidae,spionidae,magelonidae,poecilochaetidae,longosomatidae,cirratulidae,capitellidae,acrocirridae,maldanidae,opheliidae,scalibregmatidae,lacydoniidae,glyceridae,polynoidae,sigalionidae,pilargidae,nereididae,syllidae,onuphidae,dorvilleidae,oenonidae,lumbrineridae,oweniidae,fauveliopsidae,sipuncula,ampharetidae,terebellidae,trichobranchidae,serpulidae,sabellidae,chaetopteridae;5;marine;benthos;600;2400;bathyal,abyssal;faunal similarity (cluster analysis);no;no;;no
Impacts of changing climate on the non-indigenous invertebrates in the northern Baltic Sea by end of the twenty-first century;r. holopainen;m. lehtiniemi;h. m. m. meier;Finland;Germany;Sweden;english;2016;spionidae;1;marine;benthos;NA;NA;littoral,sublittoral,bathyal;experimental biogeography;no;no;;yes
Range shifts and species diversity in marine ecosystem engineers: Patterns and predictions for European sedimentary habitats;s. k. berke;a. r. mahon;f. p. lima;United States of America;United States of America;United States of America;english;2010;onuphidae;5,18,3;marine;benthos;0;0;littoral;phylogeography,experimental biogeography;yes;yes ; COI, cytB;yes
Patterns of endemism in south-eastern Pacific benthic polychaetes of the Chilean coast;r. a. moreno;c. e. hernandez;m. m. rivadeneira;Chile;Chile;United States of America;english;2006;NA;10,25,24;marine;benthos;0;200;littoral,sublittoral;faunal similarity (PAE);no;no;;no
Molecular evidence supports coastal dispersal among estuaries for two benthic marine worm (Nephtyidae) species in southeastern Australia;c. i. fraser;l. m. smith;p. hutchings;Australia;Australia;Australia;english;2015;nephtydae;26;brackish;benthos;0;0;littoral;phylogeography;no;yes ; COI, 16s, 28s;no
Ribosomal (rDNA) variation in a deep sea hydrothermal vent polychaete, Alvinella pompejana, from 13N on the East Pacific Rise;d. jollivet;l. r. j. dixon;d. desbruyeres;United Kingdom;United Kingdom;France;english;1998;alvinellidae;12;marine;benthos;2630;2635;abyssal;phylogeography;no;yes ; 28s;no
Genetic variability and relationships among geographically widely separated populations of Petitia amphophthalma (Polychaeta: Syllidae). Results from RAPD-PCR investigations;c. von soosten;h. schmidt;w. westheide;Germany;Germany;Germany;english;1998;syllidae;5,14,18,11;marine;benthos;0;0;littoral;molecular biogeography;yes;yes ; RAPD;yes
Zoobenthic diversity-gradients in the Baltic Sea: Continuous post-glacial succession in a stressed ecosystem;e. bonsdorff;NA;NA;Finland;;;english;2006;nereididae,spionidae;1;brackish,marine;benthos;1;92;littoral,sublittoral;ecological statistical analysis;no;no;;yes
The genus Owenia (Annelida: Polychaeta) in the Persian Gulf, with description of Owenia persica sp. nov.;d. martin;b. s. koh;m. bhaud;Spain;South Korea;France;english;2006;oweniidae;13;marine;benthos;16;30;sublittoral;none;yes;no;;no
Ecological hindcasting of biogeographic responses to climate change in the European intertidal zone;d. s. wethey;s. a. woodin;NA;United States of America;United States of America;;english;2008;onuphidae;18,5;marine;benthos;0;0;littoral;experimental biogeography;no;no;;yes
