title;corresponding_author;author_2;author_3;country_corresponding_author;country_author2;country_author3;language;year_of_publication;family_studied;marine_realm;environment;ecological_community;minimum_depth;maximum_depth;province;approach;cryptic_or_cosmopolitan_species;molecular_data;molecular_marker;human_impact
Ecology and Distribution of Serpuloidea (polychaeta) Round South-America;p. knight-jones;e. w. knight-jones;NA;United Kingdom;United Kingdom;;english;1991;serpulidae;21,24,25,10;marine;benthos;0;NA;littoral,sublittoral;none;no;no;;no
Phylogenetic Implications of the Biogeography of Australian Terebellidae (polychaeta);p. hutchings;c. j. glasby;NA;Australia;Australia;;english;1991;terebellidae;16,26;marine;benthos;NA;NA;NA;faunal affinity;yes;no;;no
Zoogeography and ecology of the polychaetes from Ant III 2 of RV Polarstern to Antarctica in 1984.;g. hartmann-schroder;p. rosenfeldt;NA;Germany;Germany;;english;1989;NA;30;marine;benthos;68;458;sublittoral,bathyal;faunal affinity;yes;no;;no
On the Zoogeography of the Sipuncula Fauna in South America;a. amor;NA;NA;Argentina;;;english;1975;sipuncula;10,11,12,21,24,25;marine;benthos;NA;NA;sublittoral;faunal affinity;no;no;;no
Bathymetric and Latitudinal Distribution of Onuphid Polychaeta in the Bay of Biscay (northeast Atlantic);m. glemarec;NA;NA;France;;;english;1991;onuphidae;18,3;marine;benthos;0;NA;littoral,sublittoral,bathyal,abyssal;ecological statistical analysis,faunal affinity;no;no;;no
Fabricia filamentosa Day, 1963 (Polychaeta, Sabellidae, Fabriciinae) a Lessepsian migrant in Mediterranean Sea.;n. simboura;NA;NA;Greece;;;english;1989;fabriciidae;5;marine;benthos;58;145;sublittoral;none;no;no;;yes
First record of Longibrachium atlanticum (Polychaeta, Onuphidae) in the Mediterranean Sea;g. cantone;p. lanera;p. sordino;Italy;Italy;Switzerland;english;1997;onuphidae;5;brackish;benthos;15;18;sublittoral;none;yes;no;;yes
Zoogeography of the Abyssal and Hadal Zones;n. g. vinogradova;NA;NA;Russia;;;english;1997;NA;NA;marine;benthos;NA;NA;abyssal,hadal;theoretical;no;no;;no
The marine biodiversity of the western Indian Ocean and its biogeography: How much do we know?;m. d. richmond;NA;NA;United Republic of Tanzania;;;english;2001;NA;13;marine;NA;NA;NA;NA;theoretical;no;no;;no
Temperature, taxonomic technique and the zoogeography of lugworms (Arenicolidae, Polychaeta).;g. p. wells;NA;NA;United Kingdom;;;english;1964;arenicolidae;NA;marine;benthos;0;NA;littoral,sublittoral;theoretical;no;no;;no
Marine biology - Evolution and biogeography of deep-sea vent and seep invertebrates;c. l. van dover;c. r. german;k. g. speer;United States of America;United Kingdom;United States of America;english;2002;alvinellidae,siboglinidae;18,21,22,12,10,7,20,13,19;marine;benthos;NA;NA;bathyal,abyssal;theoretical;no;no;;no
Larvae adrift: patterns and problems in life histories of sipunculans;m. e. rice;NA;NA;United States of America;;;english;1981;sipuncula;NA;marine;meroplankton;NA;NA;NA;theoretical;no;no;;no
Zooplankton and the oceanography of the eastern tropical Pacific: a review;m. a. fernandez-alamo;j. farber-lorda;NA;Mexico;Mexico;;english;2006;tomopteridae,phyllodocidae,lopadorrhynchidae,phyllodocidae;12,10;marine;meroplankton,holoplankton;NA;NA;NA;theoretical;no;no;;no
Historia y perspectivas de los estudios sobre poliquetos en Argentina;r. elias;m. l. jaubet;a. ferrando;Argentina;Argentina;Argentina;spanish;2017;onuphidae,ampharetidae,nephtyidae,eunicidae,lumbrineridae,glyceridae,sabellariidae,serpulidae,spionidae,nereididae,syllidae,travisiidae;24;marine;benthos;NA;NA;littoral,sublittoral;theoretical;no;no;;yes
Biodiversity and biogeography of hydrothermal vent species: thirty years of discovery and investigations;e. ramirez-llodra;t. m. shank;c. r. german;Norway;United States of America;United States of America;english;2007;siboglinidae,alvinellidae,polynoidae;7,12,22,10,13,19,18,21;marine;benthos;2001;6000;abyssal;theoretical;no;no;;no
Cosmopolitan polychaetes - fact or fiction? Personal and historical perspectives;p. hutchings;e. k. kupriyanova;NA;Australia;Australia;;english;2018;NA;NA;marine;NA;NA;NA;NA;theoretical;yes;no;;yes
A Biogeographical Perspective of the Deep-Sea Hydrothermal Vent Fauna;v. tunnicliffe;a. g. mcarthur;d. mchugh;Canada;United States of America;United States of America;english;1998;siboglinidae,alvinellidae,ampharetidae;NA;marine;benthos;NA;NA;NA;theoretical;no;no;;no
Amphipacific Distribution of Polychaetes;p. v. uschakov;NA;NA;Russia;;;english;1971;NA;20,9,29,7,12;marine;benthos;NA;NA;sublittoral;theoretical;no;no;;no
Cryptic polychaete diversity: a review;a. nygren;NA;NA;Sweden;;;english;2014;NA;NA;NA;NA;NA;NA;NA;theoretical;yes;no;;yes
Deep-sea biodiversity and biogeography: perspectives from the abyss;c. r. smith;j. drazen;s. l. mincks;United States of America;United States of America;United States of America;english;2006;NA;NA;marine;benthos;NA;NA;abyssal;theoretical;yes;no;;no
Global diversity of polychaetes (Polychaeta Annelida) in freshwater;c. j. glasby;t. timm;NA;Australia;Estonia;;english;2008;ampharetidae,capitellidae,cirratulidae,eunicidae,goniadidae,histriobdellidae,lumbrineridae,maldanidae,nephtyidae,nereididae,nerillidae,onuphidae,orbiniidae,paraonidae,phyllodocidae,pilargidae,sigalionidae,protodrilidae,sabellidae,serpulidae,spionidae,sternaspidae;NA;freshwater,brackish ;NA;NA;NA;NA;theoretical;no;no;;yes
Polychaete distribution patterns, or: can animals with Palaeozoic cousins show large-scale geographical patterns;k. fauchald;NA;NA;United States of America;;;english;1984;NA;NA;NA;NA;NA;NA;NA;theoretical;no;no;;no
